Model,AUC,AUPRC,Accuracy,F1,Precision,Recall,Youden,Brier
ExtraTrees,0.7462 (0.7055-0.7895),0.1102 (0.0797-0.1552),0.7096 (0.6955-0.7245),0.1454 (0.1174-0.1730),0.0812 (0.0645-0.0984),0.6935 (0.6202-0.7730),0.4037 (0.3300-0.4841),0.2045 (0.2011-0.2079)
LR,0.7406 (0.7023-0.7829),0.1081 (0.0785-0.1596),0.6716 (0.6571-0.6880),0.1321 (0.1063-0.1562),0.0729 (0.0579-0.0872),0.7016 (0.6278-0.7857),0.3722 (0.2971-0.4585),0.2075 (0.2018-0.2138)
SVM,0.7400 (0.7030-0.7784),0.1068 (0.0729-0.1615),0.9644 (0.9586-0.9704),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0333 (0.0281-0.0385)
GBDT,0.7374 (0.6994-0.7798),0.0863 (0.0658-0.1168),0.9627 (0.9563-0.9687),0.0152 (0.0000-0.0465),0.1250 (0.0000-0.4000),0.0081 (0.0000-0.0252),0.0060 (-0.0033-0.0232),0.0346 (0.0292-0.0399)
CatBoost,0.7367 (0.6949-0.7795),0.0994 (0.0725-0.1404),0.6949 (0.6804-0.7114),0.1352 (0.1089-0.1620),0.0752 (0.0599-0.0918),0.6694 (0.5950-0.7510),0.3652 (0.2866-0.4514),0.1922 (0.1871-0.1976)
AdaBoost,0.7321 (0.6896-0.7785),0.1099 (0.0798-0.1682),0.9644 (0.9586-0.9704),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0606 (0.0572-0.0638)
RF,0.7296 (0.6863-0.7759),0.0978 (0.0685-0.1355),0.8064 (0.7942-0.8186),0.1403 (0.1087-0.1754),0.0833 (0.0638-0.1069),0.4435 (0.3607-0.5389),0.2633 (0.1812-0.3614),0.1617 (0.1583-0.1651)
HistGBM,0.7221 (0.6839-0.7618),0.0904 (0.0647-0.1257),0.9647 (0.9589-0.9707),0.0160 (0.0000-0.0492),1.0000 (0.0000-1.0000),0.0081 (0.0000-0.0252),0.0081 (0.0000-0.0252),0.0337 (0.0283-0.0389)
XGB,0.7180 (0.6790-0.7576),0.0777 (0.0579-0.1084),0.9644 (0.9586-0.9704),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0341 (0.0285-0.0394)
LightGBM,0.7093 (0.6656-0.7565),0.0931 (0.0644-0.1369),0.9647 (0.9589-0.9707),0.0160 (0.0000-0.0492),1.0000 (0.0000-1.0000),0.0081 (0.0000-0.0252),0.0081 (0.0000-0.0252),0.0339 (0.0284-0.0392)
NB,0.7028 (0.6632-0.7459),0.0700 (0.0547-0.0943),0.8615 (0.8508-0.8735),0.1300 (0.0929-0.1654),0.0837 (0.0583-0.1088),0.2903 (0.2137-0.3697),0.1730 (0.0995-0.2540),0.1196 (0.1090-0.1288)
MLP,0.7010 (0.6551-0.7482),0.0948 (0.0649-0.1382),0.9644 (0.9586-0.9704),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0336 (0.0282-0.0390)
Bagging,0.6731 (0.6328-0.7190),0.0657 (0.0497-0.0954),0.9635 (0.9575-0.9698),0.0155 (0.0000-0.0478),0.2000 (0.0000-0.6667),0.0081 (0.0000-0.0252),0.0069 (-0.0021-0.0243),0.0365 (0.0308-0.0416)
KNN,0.6657 (0.6204-0.7090),0.0698 (0.0514-0.1025),0.9644 (0.9586-0.9704),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0341 (0.0285-0.0393)
DT,0.6510 (0.6012-0.7017),0.0672 (0.0504-0.0882),0.7196 (0.7035-0.7350),0.1207 (0.0950-0.1448),0.0680 (0.0523-0.0827),0.5403 (0.4606-0.6320),0.2666 (0.1867-0.3564),0.2226 (0.2165-0.2289)
