Model,AUC,AUPRC,Accuracy,F1,Precision,Recall,Youden,Brier
SVM,0.6834 (0.6322-0.7302),0.2158 (0.1667-0.2915),0.8939 (0.8753-0.9093),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0908 (0.0797-0.1039)
LR,0.6754 (0.6242-0.7253),0.2132 (0.1681-0.2844),0.6470 (0.6194-0.6765),0.2733 (0.2302-0.3220),0.1748 (0.1437-0.2119),0.6260 (0.5458-0.7138),0.2754 (0.1886-0.3637),0.2160 (0.2066-0.2245)
AdaBoost,0.6646 (0.6132-0.7148),0.1869 (0.1496-0.2531),0.8939 (0.8753-0.9093),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.1039 (0.0956-0.1135)
CatBoost,0.6643 (0.6171-0.7173),0.1907 (0.1509-0.2616),0.6559 (0.6279-0.6858),0.2710 (0.2238-0.3221),0.1748 (0.1413-0.2145),0.6031 (0.5232-0.6907),0.2652 (0.1771-0.3592),0.2126 (0.2036-0.2211)
ExtraTrees,0.6638 (0.6097-0.7129),0.2012 (0.1576-0.2624),0.6632 (0.6360-0.6883),0.2676 (0.2180-0.3173),0.1739 (0.1396-0.2109),0.5802 (0.4875-0.6629),0.2532 (0.1579-0.3366),0.2214 (0.2164-0.2258)
HistGBM,0.6561 (0.6106-0.7074),0.1821 (0.1424-0.2467),0.8939 (0.8753-0.9093),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0928 (0.0813-0.1061)
GBDT,0.6509 (0.5996-0.7057),0.1771 (0.1400-0.2351),0.8891 (0.8721-0.9053),0.0284 (0.0000-0.0662),0.2000 (0.0000-0.4545),0.0153 (0.0000-0.0370),0.0080 (-0.0091-0.0290),0.0947 (0.0826-0.1081)
RF,0.6456 (0.5948-0.6956),0.1670 (0.1350-0.2253),0.7271 (0.7036-0.7535),0.2561 (0.2045-0.3150),0.1801 (0.1411-0.2269),0.4427 (0.3599-0.5305),0.2036 (0.1175-0.2959),0.1968 (0.1908-0.2024)
MLP,0.6445 (0.5895-0.6977),0.1935 (0.1499-0.2635),0.8939 (0.8753-0.9093),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0936 (0.0830-0.1059)
XGB,0.6344 (0.5842-0.6874),0.1815 (0.1438-0.2488),0.8939 (0.8753-0.9093),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0939 (0.0815-0.1076)
Bagging,0.6293 (0.5833-0.6804),0.1520 (0.1229-0.2038),0.8931 (0.8749-0.9089),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),-0.0009 (-0.0036-0.0000),0.0992 (0.0883-0.1117)
LightGBM,0.6230 (0.5768-0.6761),0.1598 (0.1288-0.2221),0.8899 (0.8713-0.9061),0.0286 (0.0000-0.0768),0.2222 (0.0000-0.5864),0.0153 (0.0000-0.0420),0.0089 (-0.0090-0.0360),0.0962 (0.0838-0.1098)
NB,0.6187 (0.5658-0.6708),0.1498 (0.1173-0.2015),0.7984 (0.7757-0.8202),0.1942 (0.1310-0.2559),0.1685 (0.1124-0.2319),0.2290 (0.1565-0.3074),0.0949 (0.0177-0.1746),0.1655 (0.1492-0.1834)
KNN,0.6038 (0.5518-0.6596),0.1611 (0.1230-0.2169),0.8939 (0.8753-0.9093),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0947 (0.0822-0.1093)
DT,0.6027 (0.5537-0.6544),0.1544 (0.1198-0.1975),0.6202 (0.5911-0.6478),0.2374 (0.1944-0.2841),0.1508 (0.1201-0.1849),0.5573 (0.4745-0.6524),0.1850 (0.0989-0.2853),0.2351 (0.2250-0.2452)
