Model,AUC,AUPRC,Accuracy,F1,Precision,Recall,Youden,Brier
AdaBoost,0.5830 (0.5226-0.6346),0.1923 (0.1517-0.2590),0.8517 (0.8274-0.8760),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.1299 (0.1166-0.1433)
SVM,0.5713 (0.5114-0.6257),0.1721 (0.1372-0.2155),0.8517 (0.8274-0.8760),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.1272 (0.1113-0.1438)
LR,0.5687 (0.5075-0.6208),0.1891 (0.1474-0.2503),0.5844 (0.5505-0.6176),0.2664 (0.2100-0.3175),0.1804 (0.1381-0.2214),0.5086 (0.4043-0.5969),0.1062 (0.0085-0.2039),0.2351 (0.2283-0.2427)
CatBoost,0.5671 (0.5067-0.6193),0.1793 (0.1425-0.2318),0.6381 (0.6067-0.6701),0.2725 (0.2129-0.3287),0.1941 (0.1458-0.2419),0.4569 (0.3614-0.5440),0.1266 (0.0287-0.2151),0.2246 (0.2179-0.2326)
ExtraTrees,0.5609 (0.4974-0.6122),0.1743 (0.1411-0.2241),0.6586 (0.6253-0.6931),0.2685 (0.2063-0.3249),0.1968 (0.1486-0.2491),0.4224 (0.3258-0.5085),0.1221 (0.0251-0.2133),0.2303 (0.2262-0.2355)
RF,0.5575 (0.4941-0.6128),0.1759 (0.1407-0.2319),0.7072 (0.6714-0.7385),0.2184 (0.1544-0.2791),0.1808 (0.1218-0.2398),0.2759 (0.1964-0.3536),0.0581 (-0.0299-0.1376),0.2101 (0.2046-0.2167)
XGB,0.5473 (0.4925-0.5949),0.1700 (0.1352-0.2192),0.8504 (0.8248-0.8754),0.0331 (0.0000-0.0786),0.4000 (0.0000-1.0000),0.0172 (0.0000-0.0421),0.0127 (-0.0060-0.0372),0.1318 (0.1149-0.1500)
HistGBM,0.5445 (0.4867-0.5975),0.1781 (0.1420-0.2383),0.8517 (0.8274-0.8760),0.0169 (0.0000-0.0515),0.5000 (0.0000-1.0000),0.0086 (0.0000-0.0267),0.0071 (-0.0045-0.0250),0.1299 (0.1135-0.1483)
MLP,0.5402 (0.4838-0.5955),0.1720 (0.1364-0.2278),0.8517 (0.8274-0.8760),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.1298 (0.1152-0.1452)
LightGBM,0.5366 (0.4800-0.5909),0.1735 (0.1377-0.2337),0.6905 (0.6586-0.7193),0.2437 (0.1809-0.3029),0.1912 (0.1370-0.2447),0.3362 (0.2564-0.4234),0.0885 (-0.0047-0.1780),0.2025 (0.1917-0.2144)
NB,0.5350 (0.4778-0.5907),0.1513 (0.1252-0.1898),0.7442 (0.7129-0.7737),0.0741 (0.0273-0.1229),0.0800 (0.0291-0.1356),0.0690 (0.0247-0.1157),-0.0692 (-0.1209--0.0142),0.1959 (0.1760-0.2197)
GBDT,0.5345 (0.4855-0.5896),0.1578 (0.1287-0.2028),0.8440 (0.8184-0.8696),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),-0.0090 (-0.0167--0.0030),0.1331 (0.1164-0.1516)
Bagging,0.5313 (0.4786-0.5871),0.1559 (0.1277-0.1964),0.8453 (0.8197-0.8708),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),-0.0075 (-0.0148--0.0015),0.1382 (0.1220-0.1551)
DT,0.5138 (0.4500-0.5793),0.1707 (0.1327-0.2202),0.6573 (0.6208-0.6893),0.2118 (0.1541-0.2684),0.1607 (0.1149-0.2102),0.3103 (0.2260-0.3908),0.0281 (-0.0579-0.1188),0.2609 (0.2420-0.2817)
KNN,0.4982 (0.4458-0.5493),0.1418 (0.1151-0.1800),0.8517 (0.8274-0.8760),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.0000 (0.0000-0.0000),0.1328 (0.1161-0.1495)
