# 关键配置参数提取

charls_autoencoder_audit.py    | random_state         | 500
charls_bias_analysis.py        | RANDOM_SEED          | 500
charls_case_study.py           | random_state         | 500
charls_case_study.py           | n_estimators         | 50
charls_case_study.py           | max_depth            | 3
charls_cate_visualization.py   | random_state         | 500
charls_cate_visualization.py   | random_state         | 500
charls_cate_visualization.py   | random_state         | 500
charls_cate_visualization.py   | n_estimators         | 100
charls_cate_visualization.py   | max_depth            | 5
charls_cate_visualization.py   | n_estimators         | 100
charls_cate_visualization.py   | max_depth            | 5
charls_causal_methods_comparison.py | random_state         | 500
charls_causal_methods_comparison.py | random_state         | 500
charls_causal_methods_comparison.py | n_neighbors          | 1
charls_causal_refinement.py    | random_state         | 500
charls_causal_refinement.py    | random_state         | 500
charls_causal_refinement.py    | random_state         | 500
charls_causal_refinement.py    | n_estimators         | 100
charls_causal_refinement.py    | max_depth            | 5
charls_causal_refinement.py    | n_estimators         | 100
charls_causal_refinement.py    | max_depth            | 5
charls_ci_utils.py             | random_state         | 500
charls_cognitive_subdomain_analysis.py | n_estimators         | 100
charls_cognitive_subdomain_analysis.py | max_depth            | 5
charls_cognitive_subdomain_analysis.py | n_estimators         | 100
charls_cognitive_subdomain_analysis.py | max_depth            | 5
charls_cpm_evaluation.py       | RANDOM_SEED          | 500
charls_cpm_evaluation.py       | n_estimators         | 100
charls_cpm_evaluation.py       | max_depth            | 5
charls_external_validation.py  | random_state         | 500
charls_external_validation.py  | n_estimators         | 300
charls_external_validation.py  | max_depth            | 10
charls_imbalance_comparison_experiment.py | n_neighbors          | 5
charls_imputation_audit.py     | random_state         | 500
charls_imputation_audit.py     | random_state         | 500
charls_imputation_audit.py     | random_state         | 500
charls_imputation_audit.py     | random_state         | 500
charls_imputation_audit.py     | random_state         | 500
charls_imputation_audit.py     | random_state         | 500
charls_imputation_audit.py     | random_state         | 500
charls_imputation_audit.py     | n_estimators         | 100
charls_imputation_audit.py     | max_depth            | 5
charls_imputation_audit.py     | n_neighbors          | 5
charls_imputation_experiment.py | RANDOM_SEED          | 500
charls_imputation_experiment.py | n_estimators         | 100
charls_imputation_experiment.py | n_estimators         | 100
charls_imputation_experiment.py | max_depth            | 5
charls_imputation_npj_style.py | RANDOM_SEED          | 500
charls_imputation_npj_style.py | n_neighbors          | 5
charls_imputation_npj_style.py | n_estimators         | 50
charls_methodology_audit.py    | random_state         | 500
charls_methodology_audit.py    | random_state         | 500
charls_methodology_audit.py    | max_depth            | 5
charls_methodology_audit.py    | n_estimators         | 100
charls_methodology_audit.py    | max_depth            | 5
charls_methodology_audit.py    | n_estimators         | 50
charls_methodology_audit.py    | max_depth            | 5
charls_model_comparison.py     | RANDOM_SEED          | 500
charls_nomogram.py             | random_state         | 500
charls_policy_forest_plot.py   | random_state         | 500
charls_policy_forest_plot.py   | n_estimators         | 50
charls_policy_forest_plot.py   | max_depth            | 5
charls_policy_forest_plot.py   | n_estimators         | 50
charls_policy_forest_plot.py   | max_depth            | 5
charls_recalculate_causal_impact.py | n_estimators         | 200
