exposure,label,axis,ate,ate_lb,ate_ub,n,n_t1,n_t0
lgrip_above_median,握力(中位数),Cohort_A,-0.015342137495419787,-0.0876159951417127,0.05693172015087312,8828,4652,4176
lgrip_above_median,握力(中位数),Cohort_B,-0.023978203636025475,-0.13404475541989652,0.08608834814784554,3123,1429,1694
lgrip_above_median,握力(中位数),Cohort_C,-0.03444718123074805,-0.1507055395212843,0.08181117705978817,2435,1112,1323
lgrip_high_vs_low,握力(Q4 vs Q1),Cohort_A,-0.02779037563518011,-0.1332449460444011,0.07766419477404087,4415,2448,1967
lgrip_high_vs_low,握力(Q4 vs Q1),Cohort_B,-0.010344207216375148,-0.16064931761916884,0.13996090318641852,1514,630,884
lgrip_high_vs_low,握力(Q4 vs Q1),Cohort_C,-0.037941915495847155,-0.20981937166132048,0.13393554066962615,1270,524,746
wspeed_above_median,步行速度(中位数),Cohort_A,0.01958587717432434,-0.5552270685584393,0.5943988229070879,8828,4261,4567
wspeed_above_median,步行速度(中位数),Cohort_B,0.04547416826237024,-0.49177373490399107,0.5827220714287313,3123,1660,1463
wspeed_above_median,步行速度(中位数),Cohort_C,0.02015000828199884,-0.41434043414625754,0.45464045071025516,2435,1274,1161
wspeed_high_vs_low,步行速度(Q4 vs Q1),Cohort_A,-0.25219422969152827,-1.7223624331233525,1.2179739737402955,4811,2384,2427
wspeed_high_vs_low,步行速度(Q4 vs Q1),Cohort_B,-0.1771743931561604,-1.5317087778096579,1.1773599914973367,1425,736,689
wspeed_high_vs_low,步行速度(Q4 vs Q1),Cohort_C,-0.14518795739431936,-1.6925575608926742,1.4021816461040353,964,477,487
adlab_c_no_difficulty,ADL无困难(0 vs ≥1),Cohort_A,-0.006235996087338115,-0.46214185379566647,0.44966986162099015,8828,4174,4654
adlab_c_no_difficulty,ADL无困难(0 vs ≥1),Cohort_B,-0.05361648425425042,-0.4869394069037053,0.37970643839520435,3123,1066,2057
adlab_c_no_difficulty,ADL无困难(0 vs ≥1),Cohort_C,-0.04969026270952523,-0.4563709579547288,0.3569904325356782,2435,1064,1371
iadl_no_difficulty,IADL无困难(0 vs ≥1),Cohort_A,-0.04547224978101298,-0.5214809688273587,0.4305364692653327,8828,4229,4599
iadl_no_difficulty,IADL无困难(0 vs ≥1),Cohort_B,-0.03384755978137995,-0.4421119015811442,0.37441678201838424,3123,1077,2046
iadl_no_difficulty,IADL无困难(0 vs ≥1),Cohort_C,-0.07773951385494031,-0.46850138714903533,0.3130223594391546,2435,1021,1414
systo_normal,收缩压正常(<140 vs ≥140),Cohort_A,-0.22187191299126766,-3.621194836862362,3.17745101087984,8828,8149,679
systo_normal,收缩压正常(<140 vs ≥140),Cohort_B,-0.05416139719882084,-0.9746451935041719,0.8663223991065302,3123,2902,221
systo_normal,收缩压正常(<140 vs ≥140),Cohort_C,0.05056914284306888,-0.8587896958681213,0.9599279815542586,2435,2280,155
diasto_normal,舒张压正常(<90 vs ≥90),Cohort_A,0.13796274962547744,-6.729536307713608,7.005461806964573,8828,8634,194
diasto_normal,舒张压正常(<90 vs ≥90),Cohort_B,0.041853900135922176,-3.449903741669783,3.533611541941654,3123,3067,56
diasto_normal,舒张压正常(<90 vs ≥90),Cohort_C,0.008611862232593883,-2.0025143062069364,2.019738030672122,2435,2397,38
srh_good,自评健康好(好 vs 差),Cohort_A,0.012298959910818343,-0.04290561459181005,0.06750353441344673,8828,6295,2533
srh_good,自评健康好(好 vs 差),Cohort_B,0.035682834966332615,-0.10304099266890313,0.17440666260156834,3123,2834,289
srh_good,自评健康好(好 vs 差),Cohort_C,0.037251787058584084,-0.07514026071946524,0.1496438348366334,2435,1791,644
satlife_good,生活满意(好 vs 差),Cohort_A,0.0069660190736051545,-0.047577715938326,0.06150975408553629,8828,5602,3226
satlife_good,生活满意(好 vs 差),Cohort_B,0.010181768096986189,-0.1119202798211983,0.13228381601517064,3123,2609,514
satlife_good,生活满意(好 vs 差),Cohort_C,0.02441250120764148,-0.08059442359039753,0.12941942600568046,2435,1411,1024
pulse_above_median,脉搏(中位数),Cohort_A,0.002409480617023995,-0.05958697001873746,0.06440593125278543,8828,4458,4370
pulse_above_median,脉搏(中位数),Cohort_B,0.030006361156550046,-0.0733228591580967,0.13333558147119678,3123,1537,1586
pulse_above_median,脉搏(中位数),Cohort_C,-0.013322740633711886,-0.13196901605959754,0.10532353479217375,2435,1310,1125
income_total_above_median,收入(中位数),Cohort_A,-0.005844148661454445,-0.14227568143647668,0.13058738411356774,8828,4408,4420
income_total_above_median,收入(中位数),Cohort_B,-0.049456837245575244,-0.22139936375900754,0.12248568926785704,3123,1621,1502
income_total_above_median,收入(中位数),Cohort_C,-0.04896251223876943,-0.3692849022689093,0.27135987779137044,2435,1164,1271
disability_no,无残疾(无 vs 有),Cohort_A,-0.008664254727338514,-0.07830220849371078,0.060973699039033734,8828,7011,1817
disability_no,无残疾(无 vs 有),Cohort_B,-0.020072941891295687,-0.1207744150048567,0.08062853122226529,3123,2103,1020
disability_no,无残疾(无 vs 有),Cohort_C,-0.022604251187725948,-0.14755366542457227,0.10234516304912035,2435,1846,589
fall_down_no,未跌倒(无 vs 有),Cohort_A,-0.007593954055809497,-0.08631831045225895,0.07113040234063993,8828,7649,1179
fall_down_no,未跌倒(无 vs 有),Cohort_B,-0.027120491296910975,-0.13001858280097583,0.07577760020715386,3123,2320,803
fall_down_no,未跌倒(无 vs 有),Cohort_C,-0.05021733144284388,-0.19673844113141825,0.09630377824573047,2435,2057,378
pension_yes,有养老金(无 vs 有),Cohort_A,-0.007224292571610544,-0.09803798804134271,0.0835894028981216,8828,7403,1425
pension_yes,有养老金(无 vs 有),Cohort_B,0.01871194402111639,-0.09303975422987175,0.1304636422721045,3123,2409,714
pension_yes,有养老金(无 vs 有),Cohort_C,-0.018021316968292643,-0.15656117773655379,0.12051854379996846,2435,1911,524
ins_yes,有医疗保险(无 vs 有),Cohort_A,-0.007764203141673327,-0.16821181119620404,0.15268340491285734,8828,8566,262
ins_yes,有医疗保险(无 vs 有),Cohort_B,-0.02762852223521913,-0.2827302447788145,0.22747320030837617,3123,3022,101
ins_yes,有医疗保险(无 vs 有),Cohort_C,-0.06115356277811421,-0.32065036716976447,0.19834324161353598,2435,2321,114
