Variable,N_orig_observed,N_valid_after_imputation,N_still_missing,Original_mean,Imputed_mean,Mean_of_imputed_cells_only,Mean_diff_pct,Flag
age,14386,14386,0,66.6761,66.6761,,0.0,OK
bmi,9114,14386,0,23.6525,23.6091,23.5341,-0.1835,OK
mwaist,9146,14386,0,86.3511,86.5892,86.752,0.2757,OK
puff,8885,14386,0,303.1501,301.9112,299.9102,-0.4087,OK
systo,9081,14386,0,131.9139,131.5079,130.8108,-0.3078,OK
diasto,9079,14386,0,75.0772,74.8665,74.514,-0.2806,OK
pulse,9076,14386,0,72.6441,72.5531,72.3976,-0.1253,OK
lgrip,9083,14386,0,29.8741,29.9157,29.9869,0.1393,OK
wspeed,8727,14386,0,3.7283,3.6503,3.5299,-2.0934,OK
adlab_c,14363,14386,0,0.2534,0.2533,0.1861,-0.0425,OK
iadl,14386,14386,0,0.2664,0.2664,,0.0,OK
family_size,14386,14386,0,3.0689,3.0689,,0.0,OK
income_total,9703,14386,0,9.2313,9.2008,9.1377,-0.3299,OK
sleep,14310,14386,0,6.3125,6.3129,6.4006,0.0074,OK
gender,14386,14386,0,0.6185,0.6185,,0.0,OK
fall_down,14381,14386,0,0.1641,0.164,0.0,-0.0348,OK
disability,13832,14386,0,0.2468,0.238,0.0181,-3.5693,OK
hibpe,14037,14386,0,0.3769,0.3735,0.235,-0.9138,OK
diabe,13979,14386,0,0.1108,0.1077,0.0025,-2.7664,OK
cancre,14014,14386,0,0.0144,0.014,0.0,-2.5858,OK
lunge,14019,14386,0,0.1474,0.144,0.0163,-2.2681,OK
hearte,14011,14386,0,0.2061,0.2015,0.0293,-2.2357,OK
stroke,14045,14386,0,0.0464,0.0453,0.0,-2.3704,OK
arthre,14035,14386,0,0.3712,0.3676,0.2222,-0.9793,OK
srh,14383,14386,0,3.1049,3.1049,3.0,-0.0007,OK
satlife,14353,14386,0,3.3012,3.3006,3.0606,-0.0167,OK
rural,14386,14386,0,0.5355,0.5355,,0.0,OK
is_socially_isolated,14386,14386,0,0.062,0.062,,0.0,OK
pension,12935,14386,0,0.8243,0.8176,0.7581,-0.8098,OK
ins,14150,14386,0,0.9663,0.9668,1.0,0.0572,OK
retire,14248,14386,0,0.3035,0.3029,0.2391,-0.2034,OK
edu,14384,14386,0,2.1681,2.1681,2.0,-0.0011,OK
marry,14383,14386,0,0.8652,0.8652,1.0,0.0032,OK
exercise,14386,14386,0,0.5237,0.5237,,0.0,OK
drinkev,14376,14386,0,0.518,0.5181,0.6,0.011,OK
