covariate,mean_T1,mean_T0,smd,balanced
diasto,1.5535063222222745,-0.21860297000905665,2.502828093420931,False
systo,1.514481319655136,-0.21311153341575648,2.3613934239417835,False
puff,1.5205801540093957,-0.21396973610496203,2.1831310741496566,False
mwaist,1.3484270629114914,-0.18974506674124844,2.177338240317957,False
iadl,-0.9290046889525715,0.13072568888349123,1.4886721355827672,False
family_size,-0.9251195108379624,0.1301789827241924,1.4836292710719925,False
adlab_c,-0.9237474435701145,0.1299859111058098,1.4683954093252967,False
income_total,-0.8763028281996043,0.12330970150010868,1.38590098861257,False
wspeed,-0.8359378272965867,0.11762970589559146,1.3296814183648975,False
sleep,0.6683231091005651,-0.09404365755401203,0.8406791323049007,False
age,0.6321425884790633,-0.08895248466903796,0.7125288989445295,False
pulse,0.38945393493158087,-0.05480234334416566,0.4153736915175214,False
lgrip,0.22239939775952547,-0.031295121354196015,0.26759045119848396,False
hibpe,0.2662993572084481,0.3853211009174312,0.2560250540573951,False
exercise,0.4444444444444444,0.543997932549425,0.20011453548539412,False
satlife,3.4958677685950414,3.3673601240470346,0.194834547710164,False
rural,0.549127640036731,0.4662101046646854,0.16642782418137456,False
disability,0.263544536271809,0.19769996123530173,0.15679424277715276,False
ins,0.9439853076216712,0.9740276521514407,0.15195512179086382,False
diabe,0.07713498622589532,0.11383899728647112,0.1251360471148909,False
chronic_low,0.7171717171717171,0.6624886936296679,0.11842453053677734,False
retire,0.325068870523416,0.3806693371236594,0.11654985217808922,False
arthre,0.37281910009182734,0.32484817159839774,0.10077983358126989,False
gender,0.6988062442607897,0.655252616617134,0.09324177752832905,True
hearte,0.16988062442607896,0.20131799974156867,0.08092715585712035,True
drinkev,0.5711662075298439,0.5381832278072103,0.06640048421046203,True
marry,0.8714416896235078,0.8906835508463625,0.059467050413492775,True
pension,0.8218549127640037,0.8409355213851919,0.0509793809437792,True
edu,2.3213957759412307,2.3649050264892106,0.04311576766265422,True
stroke,0.03213957759412305,0.03902312960330792,0.037165804600172124,True
lunge,0.13957759412304868,0.1274066416849722,0.03579151046968272,True
cancre,0.011937557392102846,0.015505879312572683,0.030676875531071096,True
srh,3.2718089990817263,3.245768187104277,0.030141708915156693,True
is_socially_isolated,0.05417814508723599,0.05181548003618038,0.010546481613470202,True
fall_down,0.13314967860422405,0.1336089934100013,0.001350988798974028,True
had_comorbidity_before,0.0,0.0,0.0,True
