covariate,mean_T1,mean_T0,smd,balanced
diasto,1.6583530567126397,-0.2242483958913499,2.6748188800924497,False
systo,1.6372880299211616,-0.22139990808095034,2.5904967115961224,False
puff,1.6615178063371696,-0.22467634458649208,2.395058542145163,False
mwaist,1.447437017570376,-0.1957275792570701,2.327560607394165,False
family_size,-0.9953556005587711,0.13459552286727047,1.6029181798085639,False
iadl,-0.9907203652013961,0.1339687298636587,1.552637079824799,False
adlab_c,-0.9801552465023134,0.13254007695341827,1.496616104544518,False
income_total,-0.9333911466476873,0.1262164691213893,1.4786313868020617,False
wspeed,-0.9002674120135883,0.12173735996694116,1.4375599464697177,False
age,0.5999937946056285,-0.08113329392704485,0.6817585127074102,False
sleep,0.4981142433081918,-0.06735677881157655,0.5469064848685653,False
pulse,0.4112205543532003,-0.05560670527785705,0.4334145913945237,False
lgrip,0.23771988961761842,-0.032145328585151824,0.24108696737649457,False
exercise,0.41935483870967744,0.534714649218466,0.23251901419005477,False
disability,0.4220430107526882,0.3137041075972374,0.2260948485444869,False
satlife,3.1021505376344085,2.950563431479462,0.21101927038316257,False
drinkev,0.5752688172043011,0.48055252635405304,0.19058792049662557,False
gender,0.6236559139784946,0.5430752453653217,0.16399781636166857,False
arthre,0.5645161290322581,0.48491457651763,0.15990662687559512,False
hibpe,0.3548387096774194,0.4267539076699382,0.14779056197614004,False
hearte,0.22043010752688172,0.27444565612504546,0.12541999707678417,False
rural,0.6451612903225806,0.5983278807706288,0.09668610961474154,True
srh,2.696236559139785,2.629952744456561,0.08021664103949226,True
fall_down,0.23118279569892472,0.2606324972737186,0.06842844323376247,True
diabe,0.10752688172043011,0.12940748818611414,0.06774700400028329,True
edu,2.172043010752688,2.108687749909124,0.06428931173553039,True
ins,0.956989247311828,0.9691021446746637,0.0642415485696531,True
stroke,0.056451612903225805,0.07051981097782624,0.05771969906660196,True
chronic_low,0.5510752688172043,0.5238095238095238,0.054705488190881287,True
pension,0.7903225806451613,0.7688113413304253,0.05190947146588619,True
is_socially_isolated,0.06182795698924731,0.07488186114140312,0.05174586203699631,True
cancre,0.021505376344086023,0.01599418393311523,0.0406393955518226,True
lunge,0.20698924731182797,0.19083969465648856,0.04046473818148094,True
retire,0.23387096774193547,0.22537259178480554,0.02020689419821267,True
marry,0.8387096774193549,0.8338785896037805,0.013056974023647841,True
had_comorbidity_before,0.0,0.0,0.0,True
