covariate,mean_T1,mean_T0,smd,balanced
diasto,1.8156858619056468,-0.21798252527937886,2.956829987581216,False
systo,1.788956097348893,-0.21477347810857741,2.753253485534279,False
mwaist,1.6359132975227542,-0.19639989450480091,2.743945509100906,False
puff,1.7923143253015437,-0.2151766508296693,2.386840508896144,False
family_size,-0.9524545682622186,0.11434712158069808,1.503043602552534,False
iadl,-0.9548947635009426,0.11464007970272905,1.4936852272566823,False
adlab_c,-0.9456272453084976,0.11352746597310004,1.464222299498757,False
income_total,-0.8947272690730219,0.10741665925853636,1.3875134817932095,False
wspeed,-0.8395352505718143,0.1007905705608297,1.3132920148204184,False
age,0.8768830732831508,-0.10527437080354596,0.9664941339870412,False
sleep,0.5346408885972197,-0.06418641762827715,0.6157455638491238,False
disability,0.3371647509578544,0.23045078196872126,0.23837312971203412,False
gender,0.6513409961685823,0.5381784728610856,0.23204873664963863,False
lgrip,0.2006234263631125,-0.02408588513375021,0.2283822408189343,False
satlife,3.5632183908045976,3.4107635694572216,0.22760425131532216,False
pulse,0.20306277142071097,-0.02437874118712471,0.21796393186796661,False
arthre,0.421455938697318,0.33946642134314625,0.1694816393199722,False
ins,0.9195402298850575,0.9572217111315547,0.157187545411645,False
exercise,0.4329501915708812,0.5059797608095676,0.14672552886750234,False
diabe,0.04980842911877394,0.08141674333026679,0.127917730596305,False
is_socially_isolated,0.05747126436781609,0.08647654093836246,0.11240722947896017,False
hibpe,0.2988505747126437,0.3371665133394664,0.08234522122806093,True
lunge,0.16091954022988506,0.13201471941122356,0.08181881401063142,True
marry,0.842911877394636,0.8183072677092916,0.06563073847144886,True
drinkev,0.4904214559386973,0.4604415823367065,0.06005932504732293,True
rural,0.685823754789272,0.6591536338546458,0.05685186740461716,True
hearte,0.11877394636015326,0.1343146274149034,0.046757036952634126,True
fall_down,0.1685823754789272,0.15363385464581417,0.04067019844664977,True
edu,1.5632183908045978,1.5377184912603497,0.032458600387785655,True
chronic_low,0.7088122605363985,0.6987120515179392,0.022121965100233065,True
pension,0.7777777777777778,0.7856485740570377,0.01905464684252979,True
retire,0.13793103448275862,0.14397424103035877,0.017367553842358302,True
srh,3.1915708812260535,3.1803127874885004,0.011928188037080501,True
cancre,0.007662835249042145,0.0068997240110395585,0.008975843298503773,True
stroke,0.0421455938697318,0.04093836246550138,0.0060500975428065314,True
had_comorbidity_before,0.0,0.0,0.0,True
