covariate,mean_T1,mean_T0,smd,balanced
hibpe,0.1619718309859155,0.7318741450068399,1.3988305992749892,False
arthre,0.20950704225352113,0.6716826265389877,1.0518412766863054,False
hearte,0.03051643192488263,0.3707250341997264,0.9383981944909465,False
lunge,0.056924882629107984,0.3173734610123119,0.7084158513305074,False
diabe,0.020539906103286387,0.21203830369357046,0.6259386476409473,False
srh,3.308098591549296,2.886456908344733,0.47142209973935745,False
stroke,0.01056338028169014,0.1121751025991792,0.4331879112191627,False
disability,0.20833333333333334,0.320109439124487,0.25556922175027974,False
retire,0.11678403755868545,0.2051983584131327,0.24232765795123926,False
age,-0.06953080859506382,0.1620800244131197,0.22592278890232417,False
exercise,0.47007042253521125,0.5636114911080712,0.18801364602047702,False
rural,0.6883802816901409,0.600547195622435,0.18426908634665293,False
cancre,0.0029342723004694834,0.016415868673050615,0.13805674413554128,False
pension,0.7681924882629108,0.8235294117647058,0.13761284939699603,False
systo,-0.038843674167391574,0.0905466768553136,0.12561249080103173,False
gender,0.5686619718309859,0.5075239398084815,0.12286366100981469,False
bmi,-0.0372493217632532,0.08683015634005732,0.12063052033387765,False
edu,1.5140845070422535,1.6019151846785227,0.10913753404605792,False
fall_down,0.1431924882629108,0.18331053351573187,0.10870618489655764,False
diasto,-0.0326219656078716,0.07604354226513559,0.10649490132550386,False
mwaist,-0.032482011227415786,0.07571730113750705,0.10594946355409136,False
ins,0.9471830985915493,0.9671682626538988,0.09883170017169692,True
is_socially_isolated,0.09096244131455399,0.06566347469220246,0.09427057055153493,True
adlab_c,-0.021209763218760894,0.04944108963716531,0.07107295621614182,True
iadl,-0.0176085921778611,0.04104656781268956,0.058957295305851615,True
sleep,0.017190663146545156,-0.0400723529435208,0.05732063907797329,True
satlife,3.438380281690141,3.4008207934336525,0.055854672316379514,True
marry,0.8151408450704225,0.8344733242134063,0.05087372585310319,True
drinkev,0.4706572769953052,0.4473324213406293,0.046820207069726894,True
pulse,-0.010059228995039395,0.023448599463124067,0.03336117439246997,True
income_total,-0.0084873110262554,0.01978437481359668,0.028227405911103544,True
wspeed,0.008212959966671499,-0.019144847856646195,0.02761667800092127,True
puff,-0.0065643170233852955,0.015301773198151064,0.02195615965763001,True
bmi_normal,0.10856807511737089,0.1039671682626539,0.014929708029193635,True
family_size,-0.003314841290455551,0.007727071900049615,0.01103546834317066,True
lgrip,-0.002630499880887211,0.006131835563654205,0.008007687432451454,True
had_comorbidity_before,0.0,0.0,0.0,True
