exposure,label,axis,method,ate,ate_lb,ate_ub,significant,n
exercise,运动,Cohort_A,TLearner,-0.008867188081271224,-0.01576503269429412,0.0005102389473666657,0,8828
exercise,运动,Cohort_A,PSM,-0.0084,-0.0163,-0.0004,1,8828
exercise,运动,Cohort_A,PSW,-0.0065,-0.0156,0.0027,0,8828
exercise,运动,Cohort_B,TLearner,-0.023348680787605762,-0.049008867636789286,-0.0033328439815689757,1,3123
exercise,运动,Cohort_B,PSM,-0.0146,-0.0376,0.0085,0,3123
exercise,运动,Cohort_B,PSW,-0.0304,-0.0551,-0.0057,1,3123
exercise,运动,Cohort_C,TLearner,0.022909922391364673,-0.010484139348125239,0.05122727878935242,0,2435
exercise,运动,Cohort_C,PSM,0.035,0.0057,0.0642,1,2435
exercise,运动,Cohort_C,PSW,0.0202,-0.0113,0.0518,0,2435
drinkev,饮酒,Cohort_A,TLearner,-0.008028786127963431,-0.01678308832407034,0.0005023193767402645,0,8828
drinkev,饮酒,Cohort_A,PSM,0.0046,-0.0026,0.0119,0,8828
drinkev,饮酒,Cohort_A,PSW,-0.0032,-0.0122,0.0057,0,8828
drinkev,饮酒,Cohort_B,TLearner,0.007047950252757987,-0.016284730682242603,0.02802693505298681,0,3123
drinkev,饮酒,Cohort_B,PSM,0.0013,-0.0226,0.0252,0,3123
drinkev,饮酒,Cohort_B,PSW,0.0122,-0.0125,0.0369,0,3123
drinkev,饮酒,Cohort_C,TLearner,0.021575657764924105,-0.008745883725590771,0.050194294106099754,0,2435
drinkev,饮酒,Cohort_C,PSM,0.0259,-0.0044,0.0562,0,2435
drinkev,饮酒,Cohort_C,PSW,0.0255,-0.005,0.0561,0,2435
is_socially_isolated,社会隔离,Cohort_A,TLearner,0.01310147356437778,-0.002657011798350676,0.03374264933240405,0,8828
is_socially_isolated,社会隔离,Cohort_A,PSM,-0.0162,-0.0475,0.0152,0,8828
is_socially_isolated,社会隔离,Cohort_A,PSW,0.0089,0.0027,0.015,1,8828
is_socially_isolated,社会隔离,Cohort_B,TLearner,0.010940725426036113,-0.036954748644024746,0.047446935709816326,0,3123
is_socially_isolated,社会隔离,Cohort_B,PSM,-0.105,-0.1818,-0.0282,1,3123
is_socially_isolated,社会隔离,Cohort_B,PSW,-0.0,-0.0215,0.0215,0,3123
is_socially_isolated,社会隔离,Cohort_C,TLearner,0.009162390402800534,-0.034747656322529116,0.07136199020861402,0,2435
is_socially_isolated,社会隔离,Cohort_C,PSM,-0.0341,-0.1176,0.0495,0,2435
is_socially_isolated,社会隔离,Cohort_C,PSW,0.0194,-0.0099,0.0487,0,2435
bmi_normal,BMI正常(18.5-24),Cohort_A,TLearner,0.2522813058200018,0.13976737947156317,0.3833562481583653,1,8828
bmi_normal,BMI正常(18.5-24),Cohort_A,PSM,-0.0028,-0.0234,0.0179,0,8828
bmi_normal,BMI正常(18.5-24),Cohort_A,PSW,0.0194,0.0126,0.0262,1,8828
bmi_normal,BMI正常(18.5-24),Cohort_B,TLearner,0.20370564554340467,0.08176459217198864,0.35597297952221385,1,3123
bmi_normal,BMI正常(18.5-24),Cohort_B,PSM,0.0139,-0.0361,0.064,0,3123
bmi_normal,BMI正常(18.5-24),Cohort_B,PSW,0.0116,-0.0058,0.029,0,3123
bmi_normal,BMI正常(18.5-24),Cohort_C,TLearner,0.29056561199709574,0.13086496611115894,0.4931949027419732,1,2435
bmi_normal,BMI正常(18.5-24),Cohort_C,PSM,0.0366,-0.0343,0.1075,0,2435
bmi_normal,BMI正常(18.5-24),Cohort_C,PSW,0.0513,0.029,0.0737,1,2435
chronic_low,慢性病负担低(<=1),Cohort_A,TLearner,-0.0128608819586357,-0.02028161150317535,-0.002777907798578036,1,8828
chronic_low,慢性病负担低(<=1),Cohort_A,PSM,0.0437,0.0348,0.0525,1,8828
chronic_low,慢性病负担低(<=1),Cohort_A,PSW,-0.0101,-0.0156,-0.0046,1,8828
chronic_low,慢性病负担低(<=1),Cohort_B,TLearner,-0.012190308509381083,-0.037380577980335845,0.017693054873762628,0,3123
chronic_low,慢性病负担低(<=1),Cohort_B,PSM,-0.003,-0.0397,0.0338,0,3123
chronic_low,慢性病负担低(<=1),Cohort_B,PSW,-0.0159,-0.0332,0.0014,0,3123
chronic_low,慢性病负担低(<=1),Cohort_C,TLearner,0.03267971496387109,-0.0027463115262142115,0.058456311589931996,0,2435
chronic_low,慢性病负担低(<=1),Cohort_C,PSM,0.0409,-0.0074,0.0891,0,2435
chronic_low,慢性病负担低(<=1),Cohort_C,PSW,0.0249,0.0031,0.0467,1,2435
