covariate,mean_T1,mean_T0,smd,balanced
marry,0.0,0.8956093189964157,4.142317984325047,False
gender,0.3842364532019704,0.5654121863799283,0.3689328855905092,False
pulse,0.2519082538884759,-0.02291101054631012,0.2797320034531287,False
lgrip,-0.22077221933039437,0.020079193783185262,0.26083994232069313,False
ins,0.8916256157635468,0.9587813620071685,0.2573895361272742,False
puff,-0.20478037386895173,0.018624738304389443,0.2534904473314043,False
edu,1.3940886699507389,1.553763440860215,0.2109246221358401,False
srh,3.3497536945812807,3.1662186379928317,0.20573994719747157,False
age,0.19297005907597906,-0.0175505922905138,0.18988331573906672,False
arthre,0.270935960591133,0.35528673835125446,0.1826416851144348,False
drinkev,0.3891625615763547,0.47043010752688175,0.16471710909396506,False
diasto,-0.14133482726571875,0.012854377210995398,0.16286879163822193,False
adlab_c,0.1466545742246616,-0.013338207243551586,0.16115915159068994,False
chronic_low,0.7635467980295566,0.6939964157706093,0.1569165750134895,False
iadl,0.13864133468485992,-0.0126094045434702,0.1517059041436413,False
rural,0.5960591133004927,0.668010752688172,0.14961622068751176,False
systo,-0.1305494007746925,0.011873444604508187,0.14858926622639315,False
mwaist,-0.12927620560383932,0.011757647731890518,0.1469393550474899,False
bmi,-0.12265204813112277,0.011155181796871293,0.14017011349855132,False
hibpe,0.27586206896551724,0.3382616487455197,0.1355867353047019,False
retire,0.18719211822660098,0.139336917562724,0.1297481342240155,False
bmi_normal,0.07389162561576355,0.11021505376344086,0.1258912534860903,False
pension,0.8275862068965517,0.7809139784946236,0.11783237549593467,False
satlife,3.4876847290640396,3.421594982078853,0.09934129382392859,True
stroke,0.059113300492610835,0.03942652329749104,0.09105519797087477,True
exercise,0.5270935960591133,0.49551971326164873,0.06319544153100959,True
disability,0.26108374384236455,0.24014336917562723,0.048334367545032376,True
hearte,0.1477832512315271,0.13127240143369176,0.047664374248144875,True
lunge,0.12315270935960591,0.13620071684587814,0.03884676026594641,True
diabe,0.06896551724137931,0.07885304659498207,0.0377997633631185,True
fall_down,0.16748768472906403,0.15412186379928317,0.036390376145477445,True
income_total,0.030754083725262206,-0.002797078403328093,0.03323886796260888,True
wspeed,0.029512636199968214,-0.0026841689733843018,0.033025460554928915,True
cancre,0.0049261083743842365,0.007168458781362007,0.028925832512207816,True
sleep,0.025090278152390726,-0.0022819563014946508,0.027138096579221713,True
family_size,-0.006223485524900369,0.0005660248931697078,0.006598447233517668,True
had_comorbidity_before,0.0,0.0,0.0,True
