Variable,Healthy,Depression only,Cognition impaired only,P
N,8828,3123,2435,
"Age, years",66.61 ± 5.36,66.06 ± 5.07,67.72 ± 6.20,0.000
BMI,24.64 ± 34.52,23.55 ± 5.52,23.71 ± 13.47,0.000
"Waist circumference, cm",86.95 ± 12.07,85.38 ± 12.44,85.50 ± 11.43,0.000
Family size,3.06 ± 1.64,3.04 ± 1.62,3.14 ± 1.76,0.451
Female,5832 (66.1%),1726 (55.3%),1340 (55.0%),0.000
Male,2996 (33.9%),1397 (44.7%),1095 (45.0%),
Rural residence,4206 (47.6%),1886 (60.4%),1612 (66.2%),0.000
Socially isolated,460 (5.2%),229 (7.3%),203 (8.3%),0.000
  Education: level 1,2100 (23.8%),1019 (32.6%),1516 (62.3%),0.000
  Education: level 2,2954 (33.5%),1064 (34.1%),592 (24.3%),
  Education: level 3,2264 (25.7%),695 (22.3%),256 (10.5%),
  Education: level 4,1503 (17.0%),344 (11.0%),70 (2.9%),
  Marital status: level 0,986 (11.2%),517 (16.6%),436 (17.9%),0.000
  Marital status: level 1,7841 (88.8%),2605 (83.4%),1998 (82.1%),
  Self-rated health: level 1,162 (1.8%),257 (8.2%),66 (2.7%),0.000
  Self-rated health: level 2,1042 (11.8%),1001 (32.1%),355 (14.6%),
  Self-rated health: level 3,5090 (57.7%),1576 (50.5%),1368 (56.2%),
  Self-rated health: level 4,1502 (17.0%),194 (6.2%),359 (14.8%),
  Self-rated health: level 5,1031 (11.7%),95 (3.0%),285 (11.7%),
  Life satisfaction: level 1,21 (0.2%),114 (3.7%),13 (0.5%),0.000
  Life satisfaction: level 2,271 (3.1%),454 (14.6%),83 (3.4%),
  Life satisfaction: level 3,5299 (60.1%),2032 (65.3%),1304 (53.8%),
  Life satisfaction: level 4,2756 (31.3%),443 (14.2%),898 (37.1%),
  Life satisfaction: level 5,470 (5.3%),70 (2.2%),125 (5.2%),
"Sleep, h/day",6.48 ± 1.58,5.68 ± 1.83,6.53 ± 1.91,0.000
Regular exercise,4694 (93.6%),1627 (91.8%),1213 (89.5%),0.000
Current smoking,4779 (54.1%),1579 (50.6%),1203 (49.4%),0.000
Current drinking,4784 (54.2%),1534 (49.2%),1129 (46.4%),0.000
Peak flow / lung function,318.51 ± 124.19,288.07 ± 114.47,268.84 ± 114.36,0.000
"SBP, mmHg",131.77 ± 20.37,130.74 ± 20.66,133.92 ± 21.75,0.000
"DBP, mmHg",75.25 ± 12.21,74.86 ± 12.36,74.74 ± 11.55,0.436
"Pulse, /min",72.62 ± 10.87,72.59 ± 10.53,72.82 ± 10.51,0.578
"Left grip, kg",31.02 ± 9.28,28.24 ± 9.49,27.98 ± 9.23,0.000
"Right grip, kg",32.58 ± 9.73,29.59 ± 10.10,28.97 ± 9.59,0.000
Hypertension,3211 (37.3%),1291 (42.2%),789 (33.2%),0.000
Diabetes,964 (11.2%),396 (13.1%),189 (8.0%),0.000
Cancer,133 (1.5%),52 (1.7%),17 (0.7%),0.017
Lung disease,1136 (13.2%),601 (19.7%),329 (13.8%),0.000
Heart disease,1731 (20.2%),835 (27.4%),322 (13.5%),0.000
Stroke,337 (3.9%),215 (7.0%),100 (4.2%),0.000
Psychiatric condition,99 (1.2%),91 (3.0%),24 (1.0%),0.000
Arthritis,2874 (33.4%),1505 (49.4%),831 (35.0%),0.000
"Grip strength, kg",31.80 ± 8.98,28.92 ± 9.18,28.48 ± 8.83,0.000
Log(income+1),6.37 ± 4.85,6.10 ± 4.60,5.87 ± 4.52,0.000
Cognition score (defining),13.89 ± 1.98,13.17 ± 1.80,8.00 ± 1.87,0.000
CES-D-10 (defining),4.14 ± 2.78,14.38 ± 4.12,4.78 ± 2.71,0.000
"Incident comorbidity, follow-up",366 (4.1%),426 (13.6%),411 (16.9%),0.000
