Variable,Missing_pct,N_non_missing
age,0.0,14386
bmi,36.65,9114
mwaist,36.42,9146
family_size,0.0,14386
rural,0.0,14386
is_socially_isolated,0.0,14386
gender,0.0,14386
edu,0.06,14377
marry,0.02,14383
srh,0.02,14383
satlife,0.23,14353
sleep,0.53,14310
exercise,43.42,8140
smokev,0.0,14386
drinkev,0.07,14376
puff,38.24,8885
systo,36.88,9081
diasto,36.89,9079
pulse,36.91,9076
lgrip,36.86,9083
rgrip,36.88,9081
hibpe,2.43,14037
diabe,2.83,13979
cancre,2.59,14014
lunge,2.55,14019
hearte,2.61,14011
stroke,2.37,14045
psyche,2.54,14021
arthre,2.44,14035
grip_strength_avg,36.79,9094
income_total,0.0,14386
total_cognition,0.0,14386
cesd10,0.0,14386
is_comorbidity_next,0.0,14386
