Variable,A: Healthy,B: Depression-only,C: Cognition-only,P-value
N,4053,1649,1325,
—— Biological factors ——,,,,
"Age, years",64.6839 ± 5.1739,64.4196 ± 4.8064,66.3472 ± 6.3844,<0.001
BMI,23.8233 ± 3.8622,23.2538 ± 3.7883,23.3338 ± 4.4012,<0.001
"Waist circumference, cm",86.6334 ± 12.4221,84.6797 ± 12.2842,85.2877 ± 11.7086,<0.001
Female,2620 (64.6435%),891 (54.0327%),679 (51.2453%),<0.001
Male,1433 (35.3565%),758 (45.9673%),646 (48.7547%),
Fall in past year,505 (12.4661%),408 (24.7573%),202 (15.2568%),<0.001
Has disability,659 (16.5620%),441 (27.5797%),285 (22.6911%),<0.001
"Pulse, /min",72.2455 ± 10.7742,72.3426 ± 10.9142,72.8618 ± 10.4643,0.1818
"Systolic BP, mmHg",132.0067 ± 20.4382,130.4444 ± 21.0086,134.4787 ± 22.4372,<0.001
"Diastolic BP, mmHg",75.4428 ± 11.9571,74.9369 ± 12.1626,75.2024 ± 11.6895,0.5334
"Grip strength (max), kg",31.5269 ± 9.4336,28.8340 ± 9.4091,27.8427 ± 9.2549,<0.001
"Walking speed, m/s",3.7649 ± 1.7588,4.1335 ± 1.8835,4.2471 ± 2.3553,<0.001
Hypertension,1322 (34.1073%),586 (36.6938%),400 (31.2500%),0.0044
Diabetes,386 (10.0000%),172 (10.8723%),97 (7.6318%),0.0268
Cancer,44 (1.1393%),25 (1.5743%),6 (0.4691%),0.0099
Lung disease,452 (11.6947%),277 (17.4214%),151 (11.8061%),<0.001
Heart disease,658 (17.0070%),394 (24.7955%),160 (12.5196%),<0.001
Stroke,127 (3.2783%),99 (6.2147%),44 (3.4402%),<0.001
Arthritis,1211 (31.2355%),746 (46.8005%),441 (34.5611%),<0.001
ADL difficulties,0.1442 ± 0.5097,0.4954 ± 1.0244,0.2577 ± 0.7416,<0.001
IADL difficulties,0.1505 ± 0.5277,0.5209 ± 0.9709,0.3585 ± 0.8230,<0.001
—— Psychological factors ——,,,,
  Self-rated health: Very bad,62 (1.5301%),140 (8.4900%),40 (3.0211%),<0.001
  Self-rated health: Bad,506 (12.4877%),534 (32.3833%),198 (14.9547%),
  Self-rated health: Average,2264 (55.8736%),833 (50.5155%),759 (57.3263%),
  Self-rated health: Good,768 (18.9536%),98 (5.9430%),195 (14.7281%),
  Self-rated health: Very good,452 (11.1550%),44 (2.6683%),132 (9.9698%),
  Life satisfaction: Very bad,13 (0.3211%),73 (4.4377%),9 (0.6839%),<0.001
  Life satisfaction: Bad,166 (4.0998%),259 (15.7447%),61 (4.6353%),
  Life satisfaction: Average,2494 (61.5955%),1069 (64.9848%),737 (56.0030%),
  Life satisfaction: Good,1194 (29.4888%),207 (12.5836%),452 (34.3465%),
  Life satisfaction: Very good,182 (4.4949%),37 (2.2492%),57 (4.3313%),
—— Social factors ——,,,,
Rural residence,1880 (46.3854%),1014 (61.4918%),898 (67.7736%),<0.001
Socially isolated,178 (4.3918%),110 (6.6707%),105 (7.9245%),<0.001
Has pension,2634 (73.4114%),873 (63.7226%),772 (69.2377%),<0.001
Has insurance,3767 (96.4661%),1545 (96.0224%),1215 (94.1131%),<0.001
Retired,1400 (34.9738%),321 (19.7174%),155 (11.8956%),<0.001
  Education: Below primary school,1038 (25.6423%),611 (37.0528%),874 (66.0121%),<0.001
  Education: Primary school,1275 (31.4970%),521 (31.5949%),280 (21.1480%),
  Education: Middle school,1016 (25.0988%),345 (20.9218%),129 (9.7432%),
  Education: Senior high school and above,719 (17.7619%),172 (10.4306%),41 (3.0967%),
  Marital status: Unmarried/Divorced/Widowed,404 (9.9679%),250 (15.1607%),228 (17.2205%),<0.001
  Marital status: Married,3649 (90.0321%),1399 (84.8393%),1096 (82.7795%),
Family size,3.2213 ± 1.7557,3.1516 ± 1.7049,3.2755 ± 1.8114,0.3263
Log(income+1),9.4553 ± 2.2868,8.6487 ± 2.5917,8.3749 ± 2.8277,<0.001
—— Lifestyle (intervenable) ——,,,,
Sleep hours,6.5291 ± 1.5708,5.6905 ± 1.8138,6.5443 ± 1.8825,<0.001
Regular exercise,1917 (47.2983%),758 (45.9673%),575 (43.3962%),0.0454
Current drinking,2109 (52.0612%),771 (46.7840%),578 (43.6226%),<0.001
Adequate sleep (≥6h),3070 (76.0277%),891 (54.4288%),943 (72.2605%),<0.001
—— Defining variables ——,,,,
Cognition score (defining),13.8521 ± 1.9759,13.0655 ± 1.7866,7.8302 ± 1.9633,<0.001
CES-D-10 (defining),4.1263 ± 2.7954,14.4797 ± 4.1760,5.0181 ± 2.6483,<0.001
—— Outcome ——,,,,
"Incident comorbidity, follow-up",173 (4.2684%),243 (14.7362%),256 (19.3208%),<0.001
