Subgroup,Value,AUC,CATE,Count,N_events,Sample_Size_Warning
Residence,Urban,0.379245153777656,-0.0006773044016834429,4622,130,OK
Residence,Rural,0.3926301071596294,-0.003370198554507399,4206,236,OK
Age_Group,<65,0.3749261451390544,-0.001681296115480772,4445,181,OK
Age_Group,65-75,0.37759195477799296,-0.0019088092148200528,3720,147,OK
Age_Group,75+,0.4297684210526315,-0.004119795704971892,663,38,OK
Gender,Male,0.40166203297239295,-0.0009863469996000563,5832,204,OK
Gender,Female,0.3603618320743703,-0.003856201723354961,2996,162,OK
Education,Edu_1,0.3652190155972728,-0.01331135474582125,2101,166,OK
Education,Edu_3,0.4867501756996982,0.0016888693446467217,2265,66,OK
Education,Edu_2,0.46993847615874007,0.0012985462799191224,2957,114,OK
Education,Edu_4,0.28515151515151516,0.001991036439060321,1505,20,Caution: Underpowered
Chronic,1-2,0.35918619476373553,-0.0020779245919533207,4921,215,OK
Chronic,0,0.3538370912045501,-0.0014485205135768035,2825,90,OK
Chronic,3+,0.48570189945569275,-0.0027615699602423593,1082,61,OK
SRH,SRH_4,0.35471861905477364,0.00016803502671789957,1502,41,OK
SRH,SRH_2,0.36765253360910033,-0.011653699770813989,1042,75,OK
SRH,SRH_3,0.40591967422297137,-0.0004694028639935987,5091,208,OK
SRH,SRH_1,0.4475993804852866,-0.013067148077677955,162,13,Caution: Underpowered
SRH,SRH_5,0.4208135453231468,-0.0008808744370570923,1031,29,Caution: Underpowered
