Subgroup,Value,AUC,CATE,Count,N_events,Sample_Size_Warning
Residence,Urban,0.376781099037902,-0.014789686397544464,1237,134,OK
Residence,Rural,0.45930157611591416,-0.025396170233876917,1886,292,OK
Age_Group,65-75,0.4164215866480405,-0.024161034890876783,1275,203,OK
Age_Group,<65,0.4254489337822671,-0.02055930132566837,1677,192,OK
Age_Group,75+,0.47419354838709676,-0.0053143352388340505,171,31,OK
Gender,Male,0.3971323179438363,-0.017584911659254673,1726,198,OK
Gender,Female,0.45678567676676723,-0.02565530537650738,1397,228,OK
Education,Edu_3,0.35976193324560357,-0.014034204080559123,695,52,OK
Education,Edu_1,0.46691867071728393,-0.03269797764699905,1020,214,OK
Education,Edu_2,0.46498791329065586,-0.020644933399770513,1064,137,OK
Education,Edu_4,0.53406474332927,-0.003256107446427102,344,23,Caution: Underpowered
Chronic,1-2,0.4141862428881906,-0.020940742928757982,1772,235,OK
Chronic,0,0.505651345241789,-0.020804568644247953,663,77,OK
Chronic,3+,0.389602053915276,-0.022226153566800633,688,114,OK
SRH,SRH_3,0.375031703641816,-0.02183466177520144,1576,194,OK
SRH,SRH_1,0.4980300187617261,-0.019249170846314022,257,52,OK
SRH,SRH_2,0.4527034240829711,-0.020765576887361522,1001,155,OK
SRH,SRH_4,0.5074775672981057,-0.019047059200262104,194,17,Caution: Underpowered
SRH,SRH_5,0.32758620689655177,-0.02475877179509969,95,8,Caution: Underpowered
