Subgroup,Value,AUC,CATE,Count,N_events,Sample_Size_Warning
Residence,Urban,0.5400976385727216,0.04493269453277532,823,101,OK
Residence,Rural,0.46505624101878007,0.02917386390355179,1612,310,OK
Age_Group,<65,0.45951519069166125,0.032648916816681695,1080,170,OK
Age_Group,65-75,0.45433244916003535,0.03326397672328828,1052,182,OK
Age_Group,75+,0.5441094748541261,0.0453905694326207,303,59,OK
Gender,Female,0.47668402302000545,0.03176378079528865,1095,205,OK
Gender,Male,0.4743625965308813,0.03673622107623769,1340,206,OK
Education,Edu_1,0.48147478070175437,0.02774929120703755,1516,300,OK
Education,Edu_2,0.5378662109375001,0.04416121822252929,592,80,OK
Education,Edu_3,0.6013948497854077,0.04876751879098267,257,24,Caution: Underpowered
Education,Edu_4,0.38775510204081637,0.04661796037301099,70,7,Caution: Underpowered
Chronic,1-2,0.4440536033788143,0.031735122732338666,1298,231,OK
Chronic,0,0.5656967093057318,0.0421511710721762,903,133,OK
Chronic,3+,0.4094891341449539,0.02031273259935417,234,47,OK
SRH,SRH_3,0.4898871852405884,0.0361558507095977,1370,224,OK
SRH,SRH_1,0.45882352941176474,0.02422086424558954,66,15,Caution: Underpowered
SRH,SRH_4,0.4713290460878885,0.03807117672737866,359,48,OK
SRH,SRH_2,0.4557371467483827,0.022273450348801075,355,88,OK
SRH,SRH_5,0.5117135207496654,0.03965318028662628,285,36,OK
