exposure,label,cohort,ate,ate_lb,ate_ub,significant,reliable,n,p_value_approx,p_adj_bonferroni,significant_bonferroni,p_adj_fdr,significant_fdr,significant_95
exercise,Exercise,Cohort_A,-0.0014,-0.0099,0.007,0,1,8828,0.7500629262440119,1.0,0,0.9375786578050148,0,0
exercise,Exercise,Cohort_B,-0.0212,-0.0416,0.0034,0,1,3123,0.06420609812185374,0.9630914718278061,0,0.3210304906092687,0,0
exercise,Exercise,Cohort_C,0.0347,0.0024,0.0586,1,1,2435,0.01551611759026894,0.2327417638540341,0,0.2327417638540341,0,1
drinkev,Drinking,Cohort_A,-0.0056,-0.0145,0.0017,0,1,8828,0.17653054986740102,1.0,0,0.44132637466850255,0,0
drinkev,Drinking,Cohort_B,0.0205,-0.0117,0.0474,0,1,3123,0.17449200853052016,1.0,0,0.5234760255915605,0,0
drinkev,Drinking,Cohort_C,0.0273,-0.007,0.0622,0,1,2435,0.1217992647519357,1.0,0,0.45674724281975887,0,0
is_socially_isolated,Social isolation,Cohort_A,0.0035,-0.0175,0.0321,0,1,8828,0.782476761591741,1.0,0,0.9028578018366241,0,0
is_socially_isolated,Social isolation,Cohort_B,0.0015,-0.0459,0.0476,0,1,3123,0.9496479874296959,1.0,0,0.9496479874296959,0,0
is_socially_isolated,Social isolation,Cohort_C,0.0081,-0.0492,0.068,0,1,2435,0.7871456331523403,1.0,0,0.8433703212346504,0,0
bmi_normal,Normal BMI (18.5-24),Cohort_A,0.0019,-0.0065,0.0167,0,1,8828,0.7483595787575248,1.0,0,1.0,0,0
bmi_normal,Normal BMI (18.5-24),Cohort_B,0.0164,-0.009,0.0485,0,1,3123,0.263744161015949,1.0,0,0.49452030190490437,0,0
bmi_normal,Normal BMI (18.5-24),Cohort_C,0.0137,-0.0206,0.06,0,1,2435,0.5063438252437247,1.0,0,0.759515737865587,0,0
chronic_low,Low chronic disease burden (≤1),Cohort_A,-0.0062,-0.0193,0.0021,0,1,8828,0.26038236015811034,1.0,0,0.5579622003388078,0,0
chronic_low,Low chronic disease burden (≤1),Cohort_B,-0.0123,-0.0298,0.0159,0,1,3123,0.293050219674027,1.0,0,0.48841703279004495,0,0
chronic_low,Low chronic disease burden (≤1),Cohort_C,0.0442,0.0034,0.0816,1,1,2435,0.026919984862321833,0.4037997729348275,0,0.20189988646741375,0,1
