intervention,intervention_label,scenario,cohort_id,cohort_label,n,incidence,ate,ate_lb,ate_ub,95CI
exercise,Exercise,"Main (CES-D≥10, Cog≤10)",A,Healthy,7093,0.0407,-0.0004,-0.0101,0.0082,"(-0.0101, 0.0082)"
exercise,Exercise,"Main (CES-D≥10, Cog≤10)",B,Depression,2486,0.1388,-0.0165,-0.0404,0.0181,"(-0.0404, 0.0181)"
exercise,Exercise,"Main (CES-D≥10, Cog≤10)",C,Cognition,1942,0.1632,0.0323,0.0067,0.0626,"(0.0067, 0.0626)"
drinkev,Drinking,"Main (CES-D≥10, Cog≤10)",A,Healthy,7093,0.0407,-0.003,-0.0135,0.0046,"(-0.0135, 0.0046)"
drinkev,Drinking,"Main (CES-D≥10, Cog≤10)",B,Depression,2486,0.1388,0.0082,-0.0221,0.0394,"(-0.0221, 0.0394)"
drinkev,Drinking,"Main (CES-D≥10, Cog≤10)",C,Cognition,1942,0.1632,0.0495,0.0058,0.0837,"(0.0058, 0.0837)"
is_socially_isolated,Social isolation,"Main (CES-D≥10, Cog≤10)",A,Healthy,7093,0.0407,-0.0005,-0.0194,0.0241,"(-0.0194, 0.0241)"
is_socially_isolated,Social isolation,"Main (CES-D≥10, Cog≤10)",B,Depression,2486,0.1388,-0.0081,-0.0604,0.0386,"(-0.0604, 0.0386)"
is_socially_isolated,Social isolation,"Main (CES-D≥10, Cog≤10)",C,Cognition,1942,0.1632,0.0074,-0.0418,0.0705,"(-0.0418, 0.0705)"
bmi_normal,Normal BMI (18.5-24),"Main (CES-D≥10, Cog≤10)",A,Healthy,7093,0.0407,0.0012,-0.0079,0.0174,"(-0.0079, 0.0174)"
bmi_normal,Normal BMI (18.5-24),"Main (CES-D≥10, Cog≤10)",B,Depression,2486,0.1388,0.012,-0.0204,0.0428,"(-0.0204, 0.0428)"
bmi_normal,Normal BMI (18.5-24),"Main (CES-D≥10, Cog≤10)",C,Cognition,1942,0.1632,0.0147,-0.0293,0.0611,"(-0.0293, 0.0611)"
