exposure,label,cohort,ate,ate_lb,ate_ub,n,n_t1,n_t0,p_value_approx,p_adj_bonferroni,significant_bonferroni,p_adj_fdr,significant_fdr,significant_95
adlab_c_no_difficulty,ADL no difficulty(0 vs >=1),Cohort_A,-0.017862202890340934,-0.03457322852355342,-0.002226454614174687,8828,7872,956,0.030413572016171564,1.0,0,0.09124071604851469,0,1
adlab_c_no_difficulty,ADL no difficulty(0 vs >=1),Cohort_B,-0.033939545420545426,-0.05996984399454461,-0.004491694886807999,3123,2211,912,0.016479660839433974,0.7415847377745288,0,0.0617987281478774,0,1
adlab_c_no_difficulty,ADL no difficulty(0 vs >=1),Cohort_C,-0.04449083594344065,-0.10733603725535765,0.008536893568989607,2435,2063,372,0.13229009727417895,1.0,0,0.22896362989761743,0,0
iadl_no_difficulty,IADL no difficulty(0 vs >=1),Cohort_A,-0.02971986430559021,-0.042763474349896614,-0.008030018273168188,8828,7908,920,0.0007960384045142543,0.035821728203141445,1,0.008955432050785361,1,1
iadl_no_difficulty,IADL no difficulty(0 vs >=1),Cohort_B,-0.03528647771445302,-0.057144334157126504,-0.0007940845845049807,3123,2190,933,0.014100196147982746,0.6345088266592236,0,0.06345088266592236,0,1
iadl_no_difficulty,IADL no difficulty(0 vs >=1),Cohort_C,-0.05281337519335572,-0.0948085217966566,-0.010678981488553214,2435,1966,469,0.013861633212996827,0.6237734945848572,0,0.06930816606498413,0,1
systo_normal,Systolic BP normal(<140 vs >=140),Cohort_A,0.005980256686941847,-0.0055109677736293805,0.017242041809860477,8828,6828,2000,0.30286547752509074,1.0,0,0.3683499050980833,0,0
systo_normal,Systolic BP normal(<140 vs >=140),Cohort_B,0.02184869577302306,-0.020165328898958335,0.04677789921077337,3123,2434,689,0.20075769872305527,1.0,0,0.2823155138292965,0,0
systo_normal,Systolic BP normal(<140 vs >=140),Cohort_C,-0.002181563012795445,-0.032564083477963225,0.040983855482316,2435,1790,645,0.9074352404449453,1.0,0,0.9280587686368759,0,0
diasto_normal,Diastolic BP normal(<90 vs >=90),Cohort_A,-0.0023229389609330923,-0.026393472662890848,0.007860701845769601,8828,8225,603,0.7903671355082278,1.0,0,0.8468219309016727,0,0
diasto_normal,Diastolic BP normal(<90 vs >=90),Cohort_B,-0.05018486882973701,-0.09810091855249511,0.016964370038844212,3123,2910,213,0.08732528303134135,1.0,0,0.18712560649573146,0,0
diasto_normal,Diastolic BP normal(<90 vs >=90),Cohort_C,0.005187339013405735,-0.05703563249441009,0.05372159628886213,2435,2269,166,0.8543319259967068,1.0,0,0.8940682946477164,0,0
lgrip_above_median,Grip strength(Median),Cohort_A,-0.019275058091263116,-0.030980204246718098,-0.011008461219521919,8828,6006,2822,0.00015478971777427297,0.006965537299842284,1,0.0023218457666140946,1,1
lgrip_above_median,Grip strength(Median),Cohort_B,-0.022489050563872067,-0.049037986162839144,0.006298034835721368,3123,1805,1318,0.11113263936640938,1.0,0,0.2273167623403828,0,0
lgrip_above_median,Grip strength(Median),Cohort_C,-0.037774053776136664,-0.06430327110002367,0.0006446618666824767,2435,1344,1091,0.022614078201013132,1.0,0,0.0726881085032565,0,0
wspeed_above_median,Walking speed(Median),Cohort_A,0.004139847572872764,-0.005328306864704406,0.010188310037774543,8828,5364,3464,0.2956258669970977,1.0,0,0.3695323337463721,0,0
wspeed_above_median,Walking speed(Median),Cohort_B,0.04196114234866454,0.01562106268988108,0.07274321024811793,3123,2102,1021,0.003982078135390532,0.17919351609257395,0,0.02986558601542899,1,1
wspeed_above_median,Walking speed(Median),Cohort_C,0.048039340127820594,0.011807367418360684,0.07180031364398741,2435,1754,681,0.0016956059948163293,0.07630226976673482,0,0.015260453953346964,1,1
mwaist_above_median,Waist circumference(Median),Cohort_A,-0.00471110145025274,-0.01664339942296067,0.0062796918719874575,8828,5805,3023,0.42045653316430265,1.0,0,0.497909052431411,0,0
mwaist_above_median,Waist circumference(Median),Cohort_B,0.026449840770652062,-0.0018397434680320788,0.07739110443123283,3123,1863,1260,0.19066180392583254,1.0,0,0.2859927058887488,0,0
mwaist_above_median,Waist circumference(Median),Cohort_C,-0.030602722001229172,-0.07173728443156507,0.0041746682638672495,2435,1420,1015,0.11404116088085847,1.0,0,0.2231240104190709,0,0
srh_good,Good self-rated health(Good vs Poor),Cohort_A,0.00908705533810052,0.00221877993895155,0.020099620317502953,8828,6295,2533,0.04635496570649833,1.0,0,0.13037334104952655,0,1
srh_good,Good self-rated health(Good vs Poor),Cohort_B,0.03679333693641657,-0.0013895514962392033,0.061450265143410676,3123,2834,289,0.021721725690276417,0.9774776560624387,0,0.0751905889278799,0,0
srh_good,Good self-rated health(Good vs Poor),Cohort_C,0.03504990149266044,0.005779981647672447,0.06135878406596954,2435,1791,644,0.013432696450966786,0.6044713402935054,0,0.07555891753668817,0,1
satlife_good,Life satisfaction(Good vs Poor),Cohort_A,0.004654234877344388,-0.0025636290980897013,0.012332079955150985,8828,5601,3227,0.22064207728740381,1.0,0,0.30087555993736886,0,0
satlife_good,Life satisfaction(Good vs Poor),Cohort_B,0.006229499179466293,-0.020913075862673876,0.0380340134761426,3123,2610,513,0.678681026935926,1.0,0,0.7830934926183761,0,0
satlife_good,Life satisfaction(Good vs Poor),Cohort_C,0.020844101424792733,-0.009248172677818942,0.04779966725626259,2435,1411,1024,0.15206171167343108,1.0,0,0.24438489376087139,0,0
