subgroup,value,axis,ate,ate_lb,ate_ub,significant,n
age,<65,Axis_B,-0.015290108989066737,-0.15396184040709784,0.12338162242896433,0,4691
age,65-75,Axis_B,-0.03102360157509623,-0.19335610485289773,0.13130890170270523,0,1273
age,75+,Axis_B,-0.05882044494636189,-0.23029559429624324,0.11265470440351942,0,171
residence,urban,Axis_B,-0.020788159254364055,-0.14617743455965304,0.1046011160509249,0,2439
residence,rural,Axis_B,-0.03399625953881273,-0.18493342700692122,0.11694090792929575,0,3696
sex,female,Axis_B,-0.023914222830417733,-0.1672601447861169,0.11943169912528138,0,3073
sex,male,Axis_B,-0.018940635493727764,-0.15828191791173357,0.12040064692427802,0,3062
age,<65,Axis_C,0.04217581858310133,-0.17425386294115727,0.25860550010735983,0,2438
age,65-75,Axis_C,-0.030838706475909063,-0.24846803825283648,0.1867906253010183,0,1046
age,75+,Axis_C,0.10915670931533134,-0.11553930914849131,0.3338527277791539,0,303
residence,urban,Axis_C,0.04781451548719365,-0.1391595228261898,0.23478855380057706,0,1252
residence,rural,Axis_C,0.020294786143048377,-0.1963609492679917,0.2369505215540884,0,2535
sex,female,Axis_C,0.012004739244194734,-0.20303467850488977,0.22704415699327918,0,1817
sex,male,Axis_C,0.053995929295974306,-0.16719565196114564,0.2751875105530942,0,1970
